1;Burj Khalifa;Dubai (AE);828;2717;163;2010;steel/concrete;office / residential / hotel
2;Shanghai Tower;Shanghai (CN);632;2073;128;2015;composite;hotel / office
3;Makkah Royal Clock Tower;Mecca (SA);601;1972;120;2012;steel/concrete;other / hotel
4;Ping An Finance Center;Shenzhen (CN);599.1;1965;115;2017;composite;office
5;Lotte World Tower;Seoul (KR);554.5;1819;123;2017;composite;hotel / residential / office / retail
6;One World Trade Center;New York City (US);541.3;1776;94;2014;composite;office
7;Guangzhou CTF Finance Centre;Guangzhou (CN);530;1739;111;2016;composite;hotel / residential / office
8;Tianjin CTF Finance Centre;Tianjin (CN);530;1739;97;2019;composite;hotel / office
9;CITIC Tower;Beijing (CN);527.7;1731;109;2018;composite;office
10;TAIPEI 101;Taipei (CN);508;1667;101;2004;composite;office
11;Shanghai World Financial Center;Shanghai (CN);492;1614;101;2008;composite;hotel / office
12;International Commerce Centre;Hong Kong (CN);484;1588;108;2010;composite;hotel / office
13;Vincom Landmark 81;Ho Chi Minh City (VN);461.3;1513;81;2018;composite;hotel / residential
14;Changsha IFS Tower T1;Changsha (CN);452.1;1483;94;2018;composite;hotel / office
15;Petronas Twin Tower 1;Kuala Lumpur (MY);451.9;1483;88;1998;composite;office
15;Petronas Twin Tower 2;Kuala Lumpur (MY);451.9;1483;88;1998;composite;office
17;Zifeng Tower;Nanjing (CN);450;1476;66;2010;composite;hotel / office
18;Willis Tower;Chicago (US);442.1;1451;108;1974;steel;office
19;KK100;Shenzhen (CN);441.8;1449;100;2011;composite;hotel / office
20;Guangzhou International Finance Center;Guangzhou (CN);438.6;1439;103;2010;composite;hotel / office
21;Wuhan Center Tower;Wuhan (CN);438;1437;88;2019;composite;hotel / residential / office
22;432 Park Avenue;New York City (US);425.7;1397;85;2015;concrete;residential
23;Marina 101;Dubai (AE);425;1394;101;2017;concrete;residential / hotel
24;Trump International Hotel & Tower;Chicago (US);423.2;1389;98;2009;concrete;residential / hotel
